index,ride_departure,capacity,tickets_9_eur,tickets_12_eur,tickets_15_eur,tickets_19_eur,direction
0,2015-01-01 08:15:00,82.0,21.0,0.0,0.0,0.0,B->A
1,2015-01-01 09:15:00,82.0,12.0,0.0,0.0,0.0,A->B
2,2015-01-01 10:15:00,82.0,33.0,0.0,0.0,0.0,B->A
3,2015-01-01 11:45:00,82.0,25.0,0.0,0.0,0.0,A->B
4,2015-01-01 12:45:00,82.0,32.0,0.0,0.0,0.0,B->A
5,2015-01-01 13:45:00,82.0,54.0,0.0,0.0,0.0,A->B
6,2015-01-01 15:15:00,82.0,59.0,0.0,0.0,0.0,B->A
7,2015-01-01 16:15:00,82.0,77.0,1.0,1.0,2.0,A->B
8,2015-01-01 17:15:00,82.0,63.0,0.0,0.0,0.0,B->A
9,2015-01-01 18:45:00,82.0,78.0,2.0,1.0,1.0,A->B
10,2015-01-01 19:45:00,82.0,41.0,0.0,0.0,0.0,B->A
11,2015-01-01 20:45:00,82.0,51.0,0.0,0.0,0.0,A->B
12,2015-01-02 07:15:00,82.0,64.0,0.0,0.0,0.0,B->A
13,2015-01-02 08:15:00,82.0,34.0,0.0,0.0,0.0,A->B
14,2015-01-02 09:15:00,82.0,79.0,1.0,1.0,1.0,B->A
15,2015-01-02 10:45:00,82.0,33.0,0.0,0.0,0.0,A->B
16,2015-01-02 11:45:00,82.0,79.0,0.0,0.0,0.0,B->A
17,2015-01-02 12:45:00,82.0,46.0,0.0,0.0,0.0,A->B
18,2015-01-02 14:15:00,82.0,44.0,0.0,0.0,0.0,B->A
19,2015-01-02 15:15:00,82.0,56.0,0.0,0.0,0.0,A->B
20,2015-01-02 16:15:00,82.0,50.0,0.0,0.0,0.0,B->A
21,2015-01-02 17:45:00,82.0,79.0,1.0,1.0,1.0,A->B
22,2015-01-02 18:45:00,82.0,50.0,0.0,0.0,0.0,B->A
23,2015-01-02 19:45:00,82.0,75.0,0.0,0.0,0.0,A->B
24,2015-01-03 07:15:00,82.0,65.0,0.0,0.0,0.0,B->A
25,2015-01-03 08:15:00,82.0,31.0,0.0,0.0,0.0,A->B
26,2015-01-03 09:15:00,82.0,59.0,0.0,0.0,0.0,B->A
27,2015-01-03 10:45:00,82.0,40.0,0.0,0.0,0.0,A->B
28,2015-01-03 11:45:00,82.0,33.0,0.0,0.0,0.0,B->A
29,2015-01-03 12:45:00,82.0,24.0,0.0,0.0,0.0,A->B
30,2015-01-03 14:15:00,82.0,54.0,0.0,0.0,0.0,B->A
31,2015-01-03 15:15:00,82.0,70.0,0.0,0.0,0.0,A->B
32,2015-01-03 16:15:00,82.0,30.0,0.0,0.0,0.0,B->A
33,2015-01-03 17:45:00,82.0,61.0,0.0,0.0,0.0,A->B
34,2015-01-03 18:45:00,82.0,44.0,0.0,0.0,0.0,B->A
35,2015-01-03 19:45:00,82.0,74.0,0.0,0.0,0.0,A->B
36,2015-01-04 08:15:00,82.0,22.0,0.0,0.0,0.0,B->A
37,2015-01-04 09:15:00,82.0,38.0,0.0,0.0,0.0,A->B
38,2015-01-04 10:15:00,82.0,33.0,0.0,0.0,0.0,B->A
39,2015-01-04 11:45:00,82.0,43.0,0.0,0.0,0.0,A->B
40,2015-01-04 12:45:00,82.0,38.0,0.0,0.0,0.0,B->A
41,2015-01-04 13:45:00,82.0,43.0,0.0,0.0,0.0,A->B
42,2015-01-04 15:15:00,82.0,37.0,0.0,0.0,0.0,B->A
43,2015-01-04 16:15:00,82.0,52.0,0.0,0.0,0.0,A->B
44,2015-01-04 17:15:00,82.0,70.0,0.0,0.0,0.0,B->A
45,2015-01-04 18:45:00,82.0,55.0,0.0,0.0,0.0,A->B
46,2015-01-04 19:45:00,82.0,36.0,0.0,0.0,0.0,B->A
47,2015-01-04 20:45:00,82.0,24.0,0.0,0.0,0.0,A->B
48,2015-01-05 07:15:00,82.0,35.0,0.0,0.0,0.0,B->A
49,2015-01-05 08:15:00,82.0,21.0,0.0,0.0,0.0,A->B
50,2015-01-05 09:15:00,82.0,52.0,0.0,0.0,0.0,B->A
51,2015-01-05 10:45:00,82.0,29.0,0.0,0.0,0.0,A->B
52,2015-01-05 11:45:00,82.0,23.0,0.0,0.0,0.0,B->A
53,2015-01-05 12:45:00,82.0,53.0,0.0,0.0,0.0,A->B
54,2015-01-05 14:15:00,82.0,26.0,0.0,0.0,0.0,B->A
55,2015-01-05 15:15:00,82.0,38.0,0.0,0.0,0.0,A->B
56,2015-01-05 16:15:00,82.0,32.0,0.0,0.0,0.0,B->A
57,2015-01-05 17:45:00,82.0,58.0,0.0,0.0,0.0,A->B
58,2015-01-05 18:45:00,82.0,35.0,0.0,0.0,0.0,B->A
59,2015-01-05 19:45:00,82.0,47.0,0.0,0.0,0.0,A->B
60,2015-01-06 08:15:00,82.0,23.0,999.0,0.0,0.0,B->A
61,2015-01-06 09:15:00,82.0,36.0,0.0,0.0,0.0,A->B
62,2015-01-06 10:15:00,82.0,29.0,0.0,0.0,0.0,B->A
63,2015-01-06 11:45:00,82.0,21.0,0.0,0.0,0.0,A->B
64,2015-01-06 12:45:00,82.0,35.0,0.0,0.0,0.0,B->A
65,2015-01-06 13:45:00,82.0,50.0,0.0,0.0,0.0,A->B
